VRABOTU/1-AVSPORT-HOME.psd
Font Name, Value, Font Size, Line Height
AkzidenzGroteskPro-MdCn, Contact, 26, 
AkzidenzGroteskPro-MdCn, catalog, 26, 
AkzidenzGroteskPro-MdCn, About us, 26, 
AkzidenzGroteskPro-MdCn, home, 26, 
AkzidenzGroteskPro-Cn, 8 800 300 200 50, 18, 
Intro-Black, AV  SPORT, 24, 
AkzidenzGroteskPro-BoldCn, shop, 24, 
OpenSans-Bold, Take 25% off your next order!*, 14, 
AkzidenzGroteskPro-XBdCn, av sportequpment, 90, 
AkzidenzGroteskPro-BoldCn, Gloves, 24, 
AkzidenzGroteskPro-BoldCn, PUNCHING BAGS, 24, 
AkzidenzGroteskPro-BoldCn, Rings, 24, 
AkzidenzGroteskPro-BoldCn, addidas, 24, 
AkzidenzGroteskPro-BoldCn, helmets, 24, 
AkzidenzGroteskPro-BoldCn, shirts, 24, 
AkzidenzGroteskPro-BoldCn, $139.99, 16, 
AkzidenzGroteskPro-Cn, Adjustable Weighted Training, 16, 
AkzidenzGroteskPro-BoldCn, $29.99, 16, 
AkzidenzGroteskPro-Cn, Men's Universal FIT Gloves, 16, 
AkzidenzGroteskPro-BoldCn, $29.99, 16, 
AkzidenzGroteskPro-Cn, Stability Ball & Pump, 65 CM, 16, 
AkzidenzGroteskPro-BoldCn, FEATURED PRODUCTS, 30, 
AkzidenzGroteskPro-BoldCn, $29.99, 16, 
AkzidenzGroteskPro-Cn, Classic Training Gloves, 16, 
AkzidenzGroteskPro-BoldCn, Подписаться, 18, 
OpenSans, Ваш емэйл, 13, 
AkzidenzGroteskPro-BoldCn, SIGN UP FOR EMAILS, 22, 
AkzidenzGroteskPro-BoldCn, About, 22, 
AkzidenzGroteskPro-BoldCn, 15.06.2016Мы открылись!, 18, 
OpenSans, В честь открытия нашего магазина, мы дарим скидку 10% всем покупателям, 13, 
OpenSans, The name Everlast is synonymous with boxing, although the company started out as a swimwear manufacturer in the Bronx in 1910. Seventeen year-old Jacob Golomb, the son of a tailor and an avid swimmer, was dissatisfied with swimsuits of the time that barely lasted a season, and began making suits that he guaranteed would last for a full year. He proudly gave them the name "EVERLAST", and although the swimsuits did not last throughout history, the name did. , 13, 
AkzidenzGroteskPro-Cn, Gloves, 18, 
AkzidenzGroteskPro-Cn, PUNCHING BAGS, 18, 
AkzidenzGroteskPro-Cn, Rings, 18, 
OpenSans, © 2016 AV sport, 13, 
AkzidenzGroteskPro-Cn, Contact, 18, 
AkzidenzGroteskPro-Cn, catalog, 18, 
AkzidenzGroteskPro-Cn, About us, 18, 
AkzidenzGroteskPro-Cn, home, 18, 
AkzidenzGroteskPro-Cn, addidas, 18, 
AkzidenzGroteskPro-Cn, helmets, 18, 
AkzidenzGroteskPro-Cn, shirts, 18, 
AkzidenzGroteskPro-Cn, 8 800 300 200 50, 18, 
Intro-Black, AV  SPORT, 24, 
VRABOTU/2-AVSPORT-ABOUT.psd
Font Name, Value, Font Size, Line Height
AkzidenzGroteskPro-BoldCn, Подписаться, 18, 
OpenSans, Ваш емэйл, 13, 
AkzidenzGroteskPro-BoldCn, SIGN UP FOR EMAILS, 22, 
AkzidenzGroteskPro-BoldCn, How to pay, 22, 
OpenSans, The name is synonymous with boxing, although the company started out as a swimwear manufacturer in the Bronx in 1910. Seventeen year-old Jacob Golomb, the son of a tailor and an avid swimmer, was dissatisfied with swimsuits of the time that barely lasted a season, and began making suits that he guaranteed would last for a full year. He proudly gave them the name , and although the swimsuits did not last throughout history, the name did. , 13, 
AkzidenzGroteskPro-BoldCn, About, 22, 
OpenSans, The name is synonymous with boxing, although the company started out as a swimwear manufacturer in the Bronx in 1910. Seventeen year-old Jacob Golomb, the son of a tailor and an avid swimmer, was dissatisfied with swimsuits of the time that barely lasted a season, and began making suits that he guaranteed would last for a full year. He proudly gave them the name , and although the swimsuits did not last throughout history, the name did. Over the subsequent years, Golomb transformed his company into a small retail store that carried a full line of sports equipment. In 1917, a young fighter named Jack Dempsey introduced boxing to Golomb and Everlast. Dempsey asked Golomb to construct protective headgear that would last more than 15 rounds of intensive boxing training. Golomb special designed the training gear for Dempsey. In 1919, Dempsey won the world's heavyweight championship wearing boxing gloves made for him by Golomb;  became the headquarters for boxing equipment throughout the world. On October 24, 2000, the management and shareholders of Active Apparel Group (AAGP) acquired the  brand and boxing equipment. On September 20, 2007  Worldwide Inc. was acquired by UK based company Brands Holdings. As of 2007, the  brand is now present in over 101 countries and has 88 licenses worldwide. , 13, 
OpenSans, Home / About, 13, 
AkzidenzGroteskPro-MdCn, Contact, 26, 
AkzidenzGroteskPro-MdCn, catalog, 26, 
AkzidenzGroteskPro-MdCn, About us, 26, 
AkzidenzGroteskPro-MdCn, home, 26, 
AkzidenzGroteskPro-Cn, 8 800 300 200 50, 18, 
Intro-Black, AV  SPORT, 24, 
AkzidenzGroteskPro-XBdCn, About us, 36, 
